latches	circuit
196	6s357r                
202	6s320rb1              
221	beemfrogs4f1          
228	beembrptwo3b2         
228	beembrptwo6b1         
254	beemldfilt7b1         
256	6s158                 
257	beemlifts3b1          
285	bob12s09              
316	beemextnc1b1          
338	6s109                 
345	beemndhm4b3           
348	6s161                 
367	6s185                 
372	6s186                 
372	6s187                 
385	beemextnc3f1          
397	6s310r                
441	6s514r                
442	beemcmbrdg7f2         
464	beemhanoi4b1          
492	intel026              
507	beemskbn2b1           
554	6s122                 
598	6s12                  
607	6s183                 
608	6s16                  
647	intel044              
647	intel046              
647	intel047              
651	6s45                  
720	beemrshr4b1           
753	6s37                  
811	6s13                  
811	6s130                 
811	6s131                 
857	6s280r                
857	6s516r                
891	intel066              
961	intel032              
1024	beempgmprot1f2        
1072	6s36                  
1079	6s190                 
1089	6s359r                
1126	6s22                  
1211	6s42                  
1257	6s195                 
1263	6s171                 
1324	6s268r                
1422	bobpcihm              
1572	6s35                  
1594	beemfwt4b1            
1598	intel064              
1602	6s266rb2              
1602	6s267rb3              
1610	6s367r                
1689	6s279r                
1689	6s517rb0              
1712	6s274r                
1931	6s38                  
1994	bob12s08              
2247	6s29                  
2297	intel016              
2352	6s284rb1              
2389	6s194                 
3046	beemfwt5b3            
3190	6s292rb037            
3297	intel034              
3337	6s340rb27             
3337	6s340rb63             
3790	6s428rb098            
3862	6s351rb15             
4309	intel014              
4708	6s376r                
4708	6s377r                
4774	6s343b08              
5143	intel027              
5805	intel036              
5884	intel012              
7436	intel028              
10009	6s23                  
11379	6s407rb296            
12781	6s149                 
13679	6s290                 
15560	6s348b53              
15893	6s119                 
28986	6s204b16              
31947	6s329rb19             
31947	6s329rb20             
